Date,Station_Name,Dataset_Type,Passenger_Departure_Scaled,temperature_max_scaled,day_sin,Passenger_Arrival_Lag7_scaled,Passenger_Departure_Lag7_scaled,Passenger_Arrival_Roll_Mean_7_scaled,Passenger_Arrival_Roll_Std_7_scaled,Passenger_Departure_Roll_Mean_7_scaled,Passenger_Departure_Roll_Std_7_scaled,holiday_category_Weekday
2023-10-11,Huamak,Train,0.9541229228323752,-0.7606578568031632,0.9749279121818236,0.9736773521868527,1.0592710371059635,0.7796092451808356,0.42609031883374904,0.7848458430373544,0.4398727579396313,1.0
2023-10-12,Huamak,Train,1.0808608549719678,-0.22857673751815907,0.43388373911755823,0.9293345978867574,0.9011760122685382,0.8092773727373342,0.5048029093998564,0.7674352616402779,0.3954701818073027,1.0
2023-10-13,Huamak,Train,-0.6237308037520773,0.11002033839048198,-0.433883739117558,1.1451794754357505,1.0739465246436148,0.848192708882871,0.5960655836781739,0.8049647370961992,0.48548558675747616,0.0
2023-10-14,Huamak,Train,-0.4990045848210496,0.0616493275463899,-0.9749279121818236,-0.2294459078672027,-0.27553126120495697,0.5011655198886746,1.02733543361815,0.4812568903801762,0.9280203540151698,0.0
2023-10-15,Huamak,Train,-0.6854233421480695,-0.180205726674067,-0.7818314824680299,-0.8665469512671009,-0.7778331755618401,0.450434306101588,1.2071862809871758,0.44243774222817506,1.073977310815977,0.0
2023-10-16,Huamak,Train,0.9091946611744244,-0.27694774836224945,0.0,0.980850444794221,0.9925642755711849,0.4621217502905118,1.13950999818688,0.4648780471399625,0.9506578374013105,1.0
2023-10-17,Huamak,Train,1.0600731518167965,-0.035092694141794244,0.7818314824680298,1.090403131888574,1.1499922327932623,0.44080179715467327,1.07682465112758,0.45172338563994896,0.9084273797023231,1.0
2023-10-18,Huamak,Train,1.078849141763403,-0.37368977005043186,0.9749279121818236,1.124312296941588,0.9692169090340124,0.426288817007988,1.0234153864910345,0.4371500841742477,0.848417591593367,1.0
2023-10-19,Huamak,Train,0.9641814888751999,-0.180205726674067,0.43388373911755823,1.1269206942533583,1.095292688334744,0.4134454717454341,0.9724961982347426,0.4611379963213314,0.9361525709781462,1.0
2023-10-20,Huamak,Train,0.9856397630998929,0.11002033839048198,-0.433883739117558,-0.6167929086650937,-0.6003931898793289,0.3935382865884764,0.8928504514386348,0.4386976914095431,0.8534775173583077,1.0
2023-10-21,Huamak,Train,-0.4721817420401834,-1.1476259435558946,-0.9749279121818236,-0.4870251424045208,-0.47631861342464066,0.7224563587624717,0.5445456070667546,0.7482191384686889,0.42369495117384715,0.0
2023-10-22,Huamak,Train,-0.7189518956241522,-0.8573998784913457,-0.7818314824680299,-0.8072059124243264,-0.6617634104913253,0.7415929432036769,0.43796503945760484,0.7533778292530084,0.3923181140304111,0.0
2023-10-23,Huamak,Train,-0.9080529372292587,-0.13183471582997494,0.0,0.8726019563557531,0.9245233788057107,0.7496842507190855,0.37519020031531264,0.746929465772609,0.4396583631049095,0.0
2023-10-24,Huamak,Train,1.0439794461482768,-0.27694774836224945,0.7818314824680298,1.0167159078310628,1.0746135922589626,0.37581447012615204,1.3441502260037392,0.39742816513499074,1.2125038797707455,1.0
2023-10-25,Huamak,Train,1.0446500172177986,-0.7122868459590729,0.9749279121818236,1.0591023641473303,1.0932914854887006,0.3808233747785478,1.3618910234146253,0.39433295066439916,1.200760936214426,1.0
2023-10-26,Huamak,Train,1.0453205882873202,-0.5188028025827064,0.43388373911755823,1.0258452984222588,0.9792229232642291,0.37054869856850564,1.3251645216661798,0.3877556199143928,1.1752784874657904,1.0
2023-10-27,Huamak,Train,1.0459911593568418,-0.6639158351149809,-0.433883739117558,1.053233470195847,1.0005690869553583,0.359888722000586,1.2881498001374476,0.40336065953695754,1.2309011954194629,1.0
2023-10-28,Huamak,Train,-0.25357557337612413,-0.27694774836224945,-0.9749279121818236,-0.38986234254107677,-0.4496359088107292,0.33689913398061533,1.206470888133477,0.41496771380167574,1.2719243993920306,0.0
2023-10-29,Huamak,Train,-0.7216341799022389,-0.5188028025827064,-0.7818314824680299,-0.766123654763944,-0.6951167912587145,0.3655397939161091,1.1244571889146289,0.45701104369387624,1.1316120485859116,0.0
2023-10-30,Huamak,Train,0.8334201303184774,-0.8573998784913457,0.0,-1.0256591872850898,-0.8832298587867903,0.36053088926371335,1.1505507679657272,0.4564951746154444,1.1343215655148766,1.0
2023-10-31,Huamak,Train,1.0104508926721942,-1.1476259435558946,0.7818314824680298,1.0421477816208233,1.0586039694906157,0.707172777900033,0.11472357926525631,0.7914231737873615,0.22793711326051827,1.0
