Date,Station_Name,Dataset_Type,Passenger_Departure_Filled,Passenger_Departure_Diff,day_cos,Passenger_Arrival_Lag7,Passenger_Arrival_Roll_Std_7,Passenger_Departure_Roll_Mean_7,Passenger_Departure_Roll_Std_7,holiday_category_Weekday
2023-02-09,Huamak,Train,5581.0,-225.0,-0.900968867902419,5811.0,1264.9984001495595,4981.857142857143,1127.7156007568885,1.0
2023-02-10,Huamak,Train,5840.0,259.0,-0.9009688679024191,6113.0,1255.0951965412605,5021.571428571428,1145.6623785890322,1.0
2023-02-11,Huamak,Train,3568.0,-2272.0,-0.2225209339563146,3882.0,1255.7030472437086,5041.285714285715,1160.4148273046862,0.0
2023-02-12,Huamak,Train,2946.0,-622.0,0.6234898018587334,2954.0,1255.3533177480135,5024.428571428572,1184.0015283130392,0.0
2023-02-13,Huamak,Train,5497.0,2551.0,1.0,5800.0,1190.8350611470655,5009.285714285715,1213.7368899787266,1.0
2023-02-14,Huamak,Train,5891.0,394.0,0.6234898018587336,5911.0,1185.9818315479783,4988.428571428572,1202.2319323024208,1.0
2023-02-15,Huamak,Train,5269.0,-622.0,-0.22252093395631434,6066.0,1205.0717425787966,5018.428571428572,1224.8026857611035,1.0
2023-02-16,Huamak,Train,5639.0,370.0,-0.900968867902419,5670.0,1156.6472689467162,4941.714285714285,1183.368879412459,1.0
2023-02-17,Huamak,Train,5898.0,259.0,-0.9009688679024191,6118.0,1181.0820906109352,4950.0,1188.7817293346973,1.0
2023-02-18,Huamak,Train,3542.0,-2356.0,-0.2225209339563146,3884.0,1178.6354903224371,4958.285714285715,1196.1978256522757,0.0
2023-02-19,Huamak,Train,2857.0,-685.0,0.6234898018587334,3174.0,1209.2586473498832,4954.571428571428,1201.2638978929426,0.0
2023-02-20,Huamak,Train,5575.0,2718.0,1.0,5736.0,1256.293944978829,4941.857142857143,1226.2765360460653,1.0
2023-02-21,Huamak,Train,5577.0,2.0,0.6234898018587336,6090.0,1257.315753803275,4953.0,1232.5003042595947,1.0
