Date,Station_Name,Dataset_Type,Passenger_Departure_Filled,pm25_filled,rain_sum,temperature_max,Is_Long_Holiday,day_sin,day_cos,month_sin,month_cos,Passenger_Arrival_Lag7,Passenger_Departure_Lag7,Passenger_Arrival_Roll_Mean_7,Passenger_Arrival_Roll_Std_7,Passenger_Departure_Roll_Mean_7,Passenger_Departure_Roll_Std_7,holiday_category_Weekday,holiday_category_Weekend
2022-04-19,Ramkhamhaeng,Train,3770.0,83.0,7.6,30.2,0,0.7818314824680298,0.6234898018587336,0.8660254037844387,-0.4999999999999998,2823.0,2714.0,1945.857142857143,715.6263989381192,2224.714285714286,761.4507456790865,1.0,0.0
2022-04-20,Ramkhamhaeng,Train,3587.0,99.0,0.5,32.0,0,0.9749279121818236,-0.22252093395631434,0.8660254037844387,-0.4999999999999998,1699.0,1581.0,2015.142857142857,829.1739722099783,2375.5714285714284,954.6417927060136,1.0,0.0
2022-04-21,Ramkhamhaeng,Train,3438.0,89.0,5.3,31.3,0,0.43388373911755823,-0.900968867902419,0.8660254037844387,-0.4999999999999998,1394.0,1521.0,2258.285714285714,960.2084347136492,2662.1428571428573,977.1897510329349,1.0,0.0
2022-04-22,Ramkhamhaeng,Train,3583.0,67.0,2.1,31.9,0,-0.433883739117558,-0.9009688679024191,0.8660254037844387,-0.4999999999999998,1442.0,1846.0,2529.4285714285716,943.3051569071476,2936.0,866.4257998620924,1.0,0.0
2022-04-23,Ramkhamhaeng,Train,2426.0,56.0,0.6,32.8,0,-0.9749279121818236,-0.2225209339563146,0.8660254037844387,-0.4999999999999998,1557.0,2029.0,2822.714285714286,864.7407538844063,3184.1428571428573,742.0295206552161,0.0,1.0
2022-04-24,Ramkhamhaeng,Train,2066.0,63.0,0.2,33.8,0,-0.7818314824680299,0.6234898018587334,0.8660254037844387,-0.4999999999999998,1578.0,2192.0,2937.714285714286,707.6144699589166,3240.8571428571427,648.2742291580597,0.0,1.0
2022-04-25,Ramkhamhaeng,Train,3532.0,59.0,0.5,33.1,0,0.0,1.0,0.8660254037844387,-0.4999999999999998,3128.0,3690.0,2980.0,615.6917518802195,3222.8571428571427,683.0662311888038,1.0,0.0
2022-04-26,Ramkhamhaeng,Train,3554.0,60.0,2.4,33.0,0,0.7818314824680298,0.6234898018587336,0.8660254037844387,-0.4999999999999998,3308.0,3770.0,3024.1428571428573,638.7178376955484,3200.285714285714,667.4900034921159,1.0,0.0
2022-04-27,Ramkhamhaeng,Train,3481.0,72.0,0.0,35.4,0,0.9749279121818236,-0.22252093395631434,0.8660254037844387,-0.4999999999999998,3401.0,3587.0,3045.714285714286,652.3076253542026,3169.4285714285716,641.2399075600482,1.0,0.0
2022-04-28,Ramkhamhaeng,Train,3702.0,72.0,5.1,35.0,0,0.43388373911755823,-0.900968867902419,0.8660254037844387,-0.4999999999999998,3292.0,3438.0,3089.5714285714284,689.4395929890835,3154.285714285714,630.9037735095358,1.0,0.0
2022-04-29,Ramkhamhaeng,Train,4017.0,60.0,1.0,32.8,0,-0.433883739117558,-0.9009688679024191,0.8660254037844387,-0.4999999999999998,3495.0,3583.0,3158.5714285714284,735.6935179685584,3192.0,657.999240121142,1.0,0.0
2022-04-30,Ramkhamhaeng,Train,2540.0,97.0,2.3,32.8,0,-0.9749279121818236,-0.2225209339563146,0.8660254037844387,-0.4999999999999998,2362.0,2426.0,3243.0,810.8135831784443,3254.0,718.6345849363687,0.0,1.0
2022-05-01,Ramkhamhaeng,Train,1992.0,75.0,5.7,32.1,0,-0.7818314824680299,0.6234898018587334,0.49999999999999994,-0.8660254037844387,1874.0,2066.0,3299.1428571428573,751.0471420116123,3270.285714285714,697.7307776608673,0.0,0.0
2022-05-02,Ramkhamhaeng,Train,2377.0,63.0,37.9,29.2,0,0.0,1.0,0.49999999999999994,-0.8660254037844387,3437.0,3532.0,3359.8571428571427,622.8805205311405,3259.714285714286,719.2469938034072,1.0,0.0
2022-05-03,Ramkhamhaeng,Train,3655.0,56.0,0.0,26.9,0,0.7818314824680298,0.6234898018587336,0.49999999999999994,-0.8660254037844387,3459.0,3554.0,3191.1428571428573,746.2326332030408,3094.714285714286,776.5701758986359,1.0,0.0
2022-05-04,Ramkhamhaeng,Train,2840.0,68.0,0.0,28.1,0,0.9749279121818236,-0.22252093395631434,0.49999999999999994,-0.8660254037844387,3708.0,3481.0,3205.4285714285716,753.1402828917644,3109.1428571428573,787.3888130124424,0.0,0.0
2022-05-05,Ramkhamhaeng,Train,4021.0,79.0,0.0,31.4,0,0.43388373911755823,-0.900968867902419,0.49999999999999994,-0.8660254037844387,3775.0,3702.0,3038.8571428571427,752.4026910663,3017.5714285714284,774.0962164879455,1.0,0.0
2022-05-06,Ramkhamhaeng,Train,4156.0,95.0,20.0,32.5,0,-0.433883739117558,-0.9009688679024191,0.49999999999999994,-0.8660254037844387,4086.0,4017.0,3033.4285714285716,746.3187114414454,3063.1428571428573,828.5769786349423,1.0,0.0
2022-05-07,Ramkhamhaeng,Train,2978.0,79.0,5.9,32.3,0,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,-0.8660254037844387,2755.0,2540.0,3002.4285714285716,698.2711644108035,3083.0,856.4434209761514,0.0,1.0
2022-05-08,Ramkhamhaeng,Train,2704.0,70.0,4.9,31.8,0,-0.7818314824680299,0.6234898018587334,0.49999999999999994,-0.8660254037844387,2299.0,1992.0,2967.1428571428573,718.7974746225877,3145.5714285714284,825.605001830548,0.0,1.0
2022-05-09,Ramkhamhaeng,Train,4236.0,65.0,10.4,31.7,0,0.0,1.0,0.49999999999999994,-0.8660254037844387,2256.0,2377.0,2968.8571428571427,716.9503535976601,3247.285714285714,693.0102727198482,1.0,0.0
2022-05-10,Ramkhamhaeng,Train,4199.0,45.0,7.0,30.2,0,0.7818314824680298,0.6234898018587336,0.49999999999999994,-0.8660254037844387,3559.0,3655.0,3224.5714285714284,739.1943490816789,3512.8571428571427,659.2977143828704,1.0,0.0
2022-05-11,Ramkhamhaeng,Train,4110.0,57.0,19.2,29.9,0,0.9749279121818236,-0.22252093395631434,0.49999999999999994,-0.8660254037844387,2542.0,2840.0,3297.5714285714284,800.4221505228478,3590.5714285714284,709.0312304223887,1.0,0.0
2022-05-12,Ramkhamhaeng,Train,4166.0,64.0,4.8,31.7,0,0.43388373911755823,-0.900968867902419,0.49999999999999994,-0.8660254037844387,3737.0,4021.0,3513.285714285714,765.5716196162883,3772.0,644.5135116245956,1.0,0.0
2022-05-13,Ramkhamhaeng,Train,3804.0,66.0,0.3,32.9,1,-0.433883739117558,-0.9009688679024191,0.49999999999999994,-0.8660254037844387,3869.0,4156.0,3563.8571428571427,793.9776295277334,3792.714285714286,656.0763965387256,0.0,0.0
2022-05-14,Ramkhamhaeng,Train,2972.0,79.0,5.0,32.4,1,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,-0.8660254037844387,2508.0,2978.0,3563.285714285714,793.7228135576721,3742.4285714285716,636.7976803618923,0.0,1.0
2022-05-15,Ramkhamhaeng,Train,2474.0,74.0,2.6,32.7,1,-0.7818314824680299,0.6234898018587334,0.49999999999999994,-0.8660254037844387,2311.0,2704.0,3584.1428571428573,762.6819845281597,3741.5714285714284,638.0010076122817,0.0,0.0
2022-05-16,Ramkhamhaeng,Train,2508.0,53.0,15.9,33.1,1,0.0,1.0,0.49999999999999994,-0.8660254037844387,4046.0,4236.0,3589.285714285714,752.7225505425226,3708.714285714286,702.9577308975074,0.0,0.0
2022-05-17,Ramkhamhaeng,Train,4750.0,57.0,27.3,30.7,0,0.7818314824680298,0.6234898018587336,0.49999999999999994,-0.8660254037844387,4070.0,4199.0,3323.8571428571427,881.4188237479075,3461.8571428571427,785.4948394847314,1.0,0.0
2022-05-18,Ramkhamhaeng,Train,4492.0,58.0,16.4,29.6,0,0.9749279121818236,-0.22252093395631434,0.49999999999999994,-0.8660254037844387,4052.0,4110.0,3358.5714285714284,919.6587876567525,3540.5714285714284,892.0550911879192,1.0,0.0
2022-05-19,Ramkhamhaeng,Train,4611.0,51.0,23.1,30.9,0,0.43388373911755823,-0.900968867902419,0.49999999999999994,-0.8660254037844387,4091.0,4166.0,3409.1428571428573,972.367802252391,3595.1428571428573,942.9293767423999,1.0,0.0
2022-05-20,Ramkhamhaeng,Train,4656.0,33.0,13.1,30.7,0,-0.433883739117558,-0.9009688679024191,0.49999999999999994,-0.8660254037844387,3865.0,3804.0,3437.8571428571427,998.4764107664962,3658.714285714286,1001.0405776467002,1.0,0.0
