Date,Station_Name,Dataset_Type,Passenger_Departure_Scaled,day_sin,Passenger_Arrival_Lag7_scaled,Passenger_Departure_Lag7_scaled,Passenger_Arrival_Roll_Mean_7_scaled,Passenger_Departure_Roll_Mean_7_scaled,Passenger_Departure_Roll_Std_7_scaled,holiday_category_Weekday
2023-01-21,Suvarnabhumi,Train,-0.44158073350041227,-0.9749279121818236,0.2230419117935377,-0.1230918705038311,0.35916802991502694,0.12993699821340934,0.16316555688143625,0.0
2023-01-22,Suvarnabhumi,Train,-0.5584849027996692,-0.7818314824680299,-0.06910566038561064,-0.2570726389251999,0.35225055125665233,0.08705026409838193,0.8911098913874813,0.0
2023-01-23,Suvarnabhumi,Train,0.19385656303910295,0.0,0.23135928039650278,0.12601608515386356,0.36396896659583866,0.046959197810547144,1.5779567215461954,1.0
2023-01-24,Suvarnabhumi,Train,0.22522109626573286,0.7818314824680298,0.2556182721551509,0.07868156217864944,0.3970076706358339,0.059926337945187785,1.6252774805415493,1.0
2023-01-25,Suvarnabhumi,Train,0.26839824590239225,0.9749279121818236,0.5942044857008543,0.4268711040641228,0.40444137904483324,0.08449252544797048,1.6923033973609423,1.0
2023-01-26,Suvarnabhumi,Train,0.648031297424718,0.43388373911755823,0.4257777714908114,0.2836641150628394,0.37135105202977486,0.06373320477370682,1.4993963504351218,1.0
2023-01-27,Suvarnabhumi,Train,0.6366260126150344,-0.433883739117558,0.8139216396291817,0.41042436303036195,0.426639258321705,0.11964656131757037,2.1685647221143225,1.0
2023-01-28,Suvarnabhumi,Train,-0.06765032438292831,-0.9749279121818236,0.17660327042698268,-0.4123138286828936,0.420754239164581,0.1550980086581477,2.5634981561752976,0.0
2023-01-29,Suvarnabhumi,Train,0.12786884378307636,-0.7818314824680299,0.009562784317434047,-0.5274410159192195,0.395717096259272,0.2097027547297082,1.896896464656209,0.0
2023-01-30,Suvarnabhumi,Train,0.4154449536272416,0.0,0.4531557764755715,0.21346461065044559,0.38554737017196095,0.30993042044929403,0.15260476826014277,1.0
2023-01-31,Suvarnabhumi,Train,0.31646337474320174,0.7818314824680298,0.3055224837729414,0.24435239259189886,0.3543154702591522,0.34228878849170047,0.15019421124523094,1.0
2023-02-01,Suvarnabhumi,Train,0.3388666127622231,0.9749279121818236,0.37206143259666197,0.28687323526454883,0.3546252081095273,0.3556128223915148,0.11210374458840437,1.0
2023-02-02,Suvarnabhumi,Train,0.15230873980382695,0.43388373911755823,0.796940345398128,0.6607357387636976,0.3491015497778407,0.36590325928735307,0.09334130007023307,1.0
2023-02-03,Suvarnabhumi,Train,0.37552645679334895,-0.433883739117558,0.7744141387650976,0.6495038180577146,0.2765712698150377,0.29351330725130803,-0.25641611083205246,1.0
