Date,Station_Name,Dataset_Type,Passenger_Departure_Filled,Passenger_Departure_Diff,pm25_filled,rain_sum,temperature_max,Is_Long_Holiday,day_sin,day_cos,month_sin,month_cos,Passenger_Arrival_Lag7,Passenger_Departure_Lag7,Passenger_Arrival_Roll_Mean_7,Passenger_Arrival_Roll_Std_7,Passenger_Departure_Roll_Mean_7,Passenger_Departure_Roll_Std_7,holiday_category_Compensatory Holiday,holiday_category_National Holiday,holiday_category_Religious Holiday,holiday_category_Weekday,holiday_category_Weekend
2023-11-27,Suvarnabhumi,Train,11690.0,792.0,74.0,0.0,31.6,0,0.0,1.0,-0.5000000000000004,0.8660254037844384,12584.0,11279.0,13386.42857142857,884.5043540768477,11223.0,390.0786245532926,0.0,0.0,0.0,1.0,0.0
2023-11-28,Suvarnabhumi,Train,11709.0,19.0,105.0,0.0,30.1,0,0.7818314824680298,0.6234898018587336,-0.5000000000000004,0.8660254037844384,13042.0,11244.0,13430.57142857143,844.5933651058953,11281.714285714286,428.9113017419345,0.0,0.0,0.0,1.0,0.0
2023-11-29,Suvarnabhumi,Train,11539.0,-170.0,133.0,0.0,31.3,0,0.9749279121818236,-0.22252093395631434,-0.5000000000000004,0.8660254037844384,13384.0,11134.0,13413.0,855.2371990662092,11348.142857142857,457.1744483132592,0.0,0.0,0.0,1.0,0.0
2023-11-30,Suvarnabhumi,Train,11708.0,169.0,119.0,0.0,32.5,0,0.43388373911755823,-0.900968867902419,-0.5000000000000004,0.8660254037844384,14568.0,11321.0,13266.285714285714,944.4754654102229,11406.0,451.1444705783177,0.0,0.0,0.0,1.0,0.0
2023-12-01,Suvarnabhumi,Train,12119.0,411.0,84.0,10.2,31.5,0,-0.433883739117558,-0.9009688679024191,-2.4492935982947064e-16,1.0,14526.0,11958.0,13064.714285714286,751.140180943963,11461.285714285714,462.56016339711147,0.0,0.0,0.0,1.0,0.0
2023-12-02,Suvarnabhumi,Train,10621.0,-1498.0,69.0,0.2,32.2,0,-0.9749279121818236,-0.2225209339563146,-2.4492935982947064e-16,1.0,13325.0,10727.0,12963.285714285714,538.8768301710501,11484.285714285714,494.28929258275735,0.0,0.0,0.0,0.0,1.0
2023-12-03,Suvarnabhumi,Train,10391.0,-230.0,72.0,0.9,32.4,0,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0,12276.0,10898.0,12804.42857142857,577.0285542162688,11469.142857142857,522.191991695137,0.0,0.0,0.0,0.0,1.0
2023-12-04,Suvarnabhumi,Train,11129.0,738.0,73.0,0.4,31.5,0,0.0,1.0,-2.4492935982947064e-16,1.0,12893.0,11690.0,12659.857142857143,810.8790350747632,11396.714285714286,637.1255015787406,0.0,0.0,0.0,1.0,0.0
2023-12-05,Suvarnabhumi,Train,9474.0,-1655.0,100.0,11.0,32.2,0,0.7818314824680298,0.6234898018587336,-2.4492935982947064e-16,1.0,12919.0,11709.0,12543.714285714286,829.920019095341,11316.57142857143,629.3207600641149,0.0,1.0,0.0,0.0,0.0
2023-12-06,Suvarnabhumi,Train,10866.0,1392.0,90.0,5.7,33.2,0,0.9749279121818236,-0.22252093395631434,-2.4492935982947064e-16,1.0,12357.0,11539.0,12306.0,936.0370363042874,10997.285714285714,904.0403225310013,0.0,0.0,0.0,1.0,0.0
