Date,Station_Name,Dataset_Type,Passenger_Departure_Scaled,Passenger_Arrival_Lag7_scaled,Passenger_Arrival_Roll_Mean_7_scaled,Passenger_Departure_Roll_Mean_7_scaled,Passenger_Departure_Roll_Std_7_scaled,holiday_category_Weekday
2023-09-25,Banthapchang,Train,1.1529471423102047,0.9911678004616776,0.9357246994071285,1.0501895465765947,0.9109502926151641,1.0
2023-09-26,Banthapchang,Train,1.1932461015509965,1.2343887648876137,0.9585738763300347,1.0445607955213376,0.9011981472508694,1.0
2023-09-27,Banthapchang,Train,1.0752979281633128,1.1735835237811298,0.935970389481568,1.028653455582567,0.8702734815416037,1.0
2023-09-28,Banthapchang,Train,0.9593155576654239,1.1098827950029084,0.9190177743452185,0.9882732849687639,0.7974897721213505,1.0
2023-09-29,Banthapchang,Train,1.0438450819265972,1.2285977895441391,0.9005910187622295,0.9483825709684621,0.7362884619688452,1.0
2023-09-30,Banthapchang,Train,-0.60939514839077,-0.8474668710915302,0.8691426892339285,0.8984579963913977,0.637754299355666,0.0
2023-10-01,Banthapchang,Train,-1.0389230798109184,-1.1630750273108998,0.9408841909703655,0.9366356122444472,0.4879763396710718,0.0
2023-10-02,Banthapchang,Train,1.0526911949306734,1.0809279182855351,0.9684014793076289,0.9540113220237194,0.39452197795054583,1.0
2023-10-03,Banthapchang,Train,1.3328181067264224,1.145593809621002,0.9821601234762607,0.9290490347351872,0.3461405426403371,1.0
2023-10-04,Banthapchang,Train,1.0536740963755709,1.1069873073311711,0.9917420363794147,0.9638004542937322,0.4317217966369658,1.0
2023-10-05,Banthapchang,Train,0.9888026010123447,1.037495603209475,0.9897765157838962,0.9584164315452256,0.4223127371933356,1.0
2023-10-06,Banthapchang,Train,0.9809393894531658,1.1050569822166796,0.985108404369539,0.9657582807477351,0.432900870744324,1.0
2023-10-07,Banthapchang,Train,-0.6172583599499489,-0.5656394043757629,0.9625049175210723,0.9500956691157144,0.40813471085302766,0.0
2023-10-08,Banthapchang,Train,-1.0369572769211237,-1.0549768208993726,0.9494833435757603,0.9481378426617123,0.4157130921253253,0.0
2023-10-09,Banthapchang,Train,1.2109383275591492,1.1349770214912986,0.9509574840223991,0.9486272992752128,0.4131210827246453,1.0
2023-10-10,Banthapchang,Train,0.7135901964410827,1.1832351493535875,0.9792118425829823,0.9880285566620141,0.4899139088284115,1.0
2023-10-11,Banthapchang,Train,1.0644860122694417,1.0992660068732047,0.9951816974215726,0.8338497234093135,0.22275783736349433,1.0
2023-10-12,Banthapchang,Train,1.1421352264163336,1.0191575146218053,1.0005868790592496,0.8365417347835669,0.22831367266458866,1.0
2023-10-13,Banthapchang,Train,-0.9475132454354634,1.016262026950068,1.0578326664037352,0.8747193506366163,0.30564791506310657,0.0
2023-10-14,Banthapchang,Train,-0.8639666226191874,-0.6167930199097892,0.5509740428343196,0.39456241279249216,0.8356947758105742,0.0
2023-10-15,Banthapchang,Train,-1.0310598682517396,-1.049185845555898,0.48365496243779965,0.3331356077981626,1.0105129870438987,0.0
2023-10-16,Banthapchang,Train,1.0153409400245736,1.2459707155745632,0.5008532676485894,0.3346039776386642,1.0051979435111824,1.0
2023-10-17,Banthapchang,Train,1.1293575076326678,1.2459707155745632,0.43893936888974655,0.28590304459535065,0.8667246729403145,1.0
2023-10-18,Banthapchang,Train,1.0438450819265972,1.1204995831326119,0.40036602720269027,0.38942311835073545,1.0943177488313305,1.0
2023-10-19,Banthapchang,Train,0.9691445721143974,1.2440403904600716,0.4006117172771297,0.38428382390897875,1.0816819474332695,1.0
2023-10-20,Banthapchang,Train,0.9141020912001451,-0.9748683286479729,0.3617926855156332,0.34121164192092324,0.9725703482025302,1.0
2023-10-21,Banthapchang,Train,-0.7597790694600668,-0.8812475605951324,0.8357288391101083,0.8047270549060257,0.48030159561173075,0.0
2023-10-22,Banthapchang,Train,-0.9976412191252291,-0.9816244665486934,0.8534185244697775,0.830668255421559,0.3694543920205948,0.0
2023-10-23,Banthapchang,Train,-1.2030676211087783,1.002749751148627,0.8300779673979918,0.8389890178510703,0.3272556625261653,0.0
2023-10-24,Banthapchang,Train,1.0792295339429023,1.094440194086976,0.2740813289406059,0.28663722951560183,1.043908242992986,1.0
2023-10-25,Banthapchang,Train,1.091679618911602,1.1214647456898577,0.3055296584689069,0.27415608587133566,1.0087403892557067,1.0
2023-10-26,Banthapchang,Train,1.1041297038803024,1.0915447064152386,0.3181417489568188,0.28606619679985157,1.0410254335142932,1.0
2023-10-27,Banthapchang,Train,1.116579788849002,0.8869302442791336,0.3264133147962947,0.31967555092689465,1.1267431740511837,1.0
2023-10-28,Banthapchang,Train,-0.6536257134111515,-0.8117558564734364,0.37481425946094515,0.3700895821174604,1.2462467797371233,0.0
2023-10-29,Banthapchang,Train,-1.0281111639170473,-1.0733149094870424,0.3974177463094119,0.39652023924649504,1.1768356574425933,0.0
2023-10-30,Banthapchang,Train,0.9878196995674474,-1.1814131158985695,0.40184016764932906,0.3889336617372349,1.203623761770874,1.0
2023-10-31,Banthapchang,Train,1.0762808296082103,1.2179810014144357,0.9593109465533545,0.9344330574836944,0.39297621136558825,1.0
2023-11-01,Banthapchang,Train,1.167690663983665,1.1710097569618079,0.9386729803004069,0.9336988725634433,0.3916117773792407,1.0
2023-11-02,Banthapchang,Train,1.0684176180490312,1.1240385125091796,0.9503842071820399,0.9526245282854675,0.42961723771076155,1.0
2023-11-03,Banthapchang,Train,1.0251699544735473,1.0770672680565518,0.9580824961811552,0.943732733140206,0.41318641570023973,1.0
2023-11-04,Banthapchang,Train,-0.6988391798764303,-0.7229609012068248,0.9573454259578353,0.9209730006124265,0.3713424520764853,0.0
2023-11-05,Banthapchang,Train,-0.9622567671089239,-1.0559419834566184,0.9281083070994929,0.9097154985019121,0.416747768648146,0.0
2023-11-06,Banthapchang,Train,1.0359818703674182,1.0085407264921016,0.9288453773228127,0.9261122950541832,0.3324941433784762,1.0
2023-11-07,Banthapchang,Train,1.2433740752407623,1.1369073466057902,0.9585738763300347,0.9381039820849488,0.35237676307628757,1.0
2023-11-08,Banthapchang,Train,1.1991435102203807,1.21701583885719,0.961522157223313,0.9797077942325028,0.43916622575085956,1.0
2023-11-09,Banthapchang,Train,1.13230621196736,1.1542802726362142,0.9217203651640566,0.9875391000485135,0.4555634372030965,1.0
2023-11-10,Banthapchang,Train,0.994700009681729,1.0741717803848145,0.8843754738491989,1.003446439987284,0.48395609535871603,1.0
2023-11-11,Banthapchang,Train,-0.49636148222757315,-0.8378152455190724,0.8514530038742592,0.995859862478024,0.4727761197716378,0.0
2023-11-12,Banthapchang,Train,-0.9337526252069004,-1.053046495784881,0.9204919147918572,1.0462738936685898,0.27151890118130595,0.0
2023-11-13,Banthapchang,Train,1.033033166032726,1.1253253959188407,0.9416212611936852,1.0533710145643487,0.23331921661048766,1.0
2023-11-14,Banthapchang,Train,1.2876046402611436,1.1484892972927394,0.9170522537496993,1.0526368296440982,0.2321913781794519,1.0
2023-11-15,Banthapchang,Train,1.2492714839101464,1.0606595045833738,0.943095401640324,1.063649603447862,0.25783924173489225,1.0
2023-11-16,Banthapchang,Train,1.0831611397224918,1.0075755639348558,0.9681557892331887,1.0761307470921289,0.28464960933594463,1.0
2023-11-17,Banthapchang,Train,1.037947673257213,0.9448399977138803,0.9939532470493733,1.0638943317546126,0.2633332223566735,1.0
2023-11-18,Banthapchang,Train,-0.7597790694600668,-0.5666045669330086,0.9917420363794147,1.0746623772516264,0.27870008204170404,0.0
2023-11-19,Banthapchang,Train,-1.1784950849863443,-0.9700425158617441,0.9504661038735195,1.0090751910425413,0.5475085633774596,0.0
2023-11-20,Banthapchang,Train,1.0359818703674182,1.028809140194263,0.8848668539980793,0.9481378426617123,0.8576632313431618,1.0
2023-11-21,Banthapchang,Train,1.280724330146862,1.250796528360792,0.824181405611435,0.9488720275819627,0.8587833760219916,1.0
2023-11-22,Banthapchang,Train,1.2079896232244571,1.159106085422443,0.8010865386140895,0.9471589294347105,0.8548573370131369,1.0
2023-11-23,Banthapchang,Train,1.0369647718123156,1.1089176324456627,0.7929787661575743,0.9368803405511971,0.8328838756278161,1.0
2023-11-24,Banthapchang,Train,0.9730761778939869,0.9361535346986682,0.7583364656615548,0.9253781101339328,0.8139504429581984,1.0
2023-11-25,Banthapchang,Train,-0.6919588697621487,-0.7287518765502995,0.7573537053637955,0.9092260418884116,0.7895779929772535,0.0
2023-11-26,Banthapchang,Train,-1.073324630382326,-1.2277409186463668,0.7649700976714312,0.9261122950541832,0.7238733319167189,0.0
2023-11-27,Banthapchang,Train,1.2541859911346331,0.7904139885545557,0.7949442867530927,0.9522982238764671,0.5853004644944494,1.0
2023-11-28,Banthapchang,Train,1.1657248610938704,1.1600712479796889,0.8789702922115227,1.006627907975038,0.6882389028905374,1.0
2023-11-29,Banthapchang,Train,1.1814512842122282,1.1272557210333325,0.8598064664052139,0.9779946960852506,0.6277628455534343,1.0
2023-11-30,Banthapchang,Train,1.1234600989632837,0.9728297118740078,0.8561211152886165,0.9713870318029922,0.6140880103002105,1.0
2023-12-01,Banthapchang,Train,1.1853828899918177,0.9322928844696852,0.8684056190106086,0.9929231227970201,0.6503418262814626,1.0
2023-12-02,Banthapchang,Train,-0.7597790694600668,-0.6988318372756803,0.9180350140474592,1.0457844370550893,0.7344694436948416,0.0
