Date,Station_Name,Dataset_Type,Passenger_Departure_Filled,Passenger_Departure_Diff,pm25_filled,temperature_max,Is_Long_Holiday,day_sin,day_cos,Passenger_Arrival_Lag7,Passenger_Departure_Lag7,Passenger_Arrival_Roll_Mean_7,Passenger_Arrival_Roll_Std_7,Passenger_Departure_Roll_Mean_7,Passenger_Departure_Roll_Std_7,holiday_category_Weekday
2023-03-17,Makkasan,Train,13128.0,857.0,112.0,32.1,0,-0.433883739117558,-0.9009688679024191,11380.0,12441.0,10403.714285714286,1513.6620840735757,11121.42857142857,1810.0954723570808,1.0
2023-03-18,Makkasan,Train,8621.0,-4507.0,110.0,32.2,0,-0.9749279121818236,-0.2225209339563146,9192.0,9409.0,10464.714285714286,1567.2198010368425,11219.57142857143,1909.4636993270133,0.0
2023-03-19,Makkasan,Train,7547.0,-1074.0,82.0,32.1,0,-0.7818314824680299,0.6234898018587334,7446.0,7760.0,10285.142857142857,1793.0885299366935,11107.0,2051.9100045242367,0.0
2023-03-20,Makkasan,Train,12242.0,4695.0,78.0,32.6,0,0.0,1.0,11172.0,12148.0,10238.42857142857,1881.4644878518639,11076.57142857143,2110.557498004008,1.0
2023-03-21,Makkasan,Train,12098.0,-144.0,89.0,33.0,0,0.7818314824680298,0.6234898018587336,11077.0,11730.0,10303.0,1926.0719093533494,11090.0,2118.7936819489178,1.0
2023-03-22,Makkasan,Train,12173.0,75.0,90.0,33.2,0,0.9749279121818236,-0.22252093395631434,11279.0,12091.0,10364.714285714286,1961.5987284428556,11142.57142857143,2141.7608687824145,1.0
2023-03-23,Makkasan,Train,12298.0,125.0,76.0,33.1,0,0.43388373911755823,-0.900968867902419,11280.0,12271.0,10375.42857142857,1967.620462821614,11154.285714285714,2148.0279106105418,1.0
2023-03-24,Makkasan,Train,12798.0,500.0,78.0,33.6,0,-0.433883739117558,-0.9009688679024191,11807.0,13128.0,10392.57142857143,1977.3139067215254,11158.142857142857,2150.3903078721455,1.0
2023-03-25,Makkasan,Train,8483.0,-4315.0,78.0,33.5,0,-0.9749279121818236,-0.2225209339563146,7935.0,8621.0,10376.142857142857,1964.0366110446785,11111.0,2103.1051645919465,0.0
2023-03-26,Makkasan,Train,7323.0,-1160.0,76.0,33.5,0,-0.7818314824680299,0.6234898018587334,7119.0,7547.0,10352.857142857143,1998.4671149468202,11091.285714285714,2130.80076608816,0.0
2023-03-27,Makkasan,Train,12186.0,4863.0,70.0,33.4,0,0.0,1.0,11624.0,12242.0,10284.0,2132.2835177339944,11059.285714285714,2193.654463392512,1.0
2023-03-28,Makkasan,Train,12695.0,509.0,71.0,32.5,0,0.7818314824680298,0.6234898018587336,11509.0,12098.0,10237.714285714286,2101.6444921605153,11051.285714285714,2188.718933858013,1.0
2023-03-29,Makkasan,Train,12307.0,-388.0,65.0,33.8,0,0.9749279121818236,-0.22252093395631434,11354.0,12173.0,10265.285714285714,2122.2669258983333,11136.57142857143,2247.154263888946,1.0
2023-03-30,Makkasan,Train,12854.0,547.0,69.0,32.7,0,0.43388373911755823,-0.900968867902419,11400.0,12298.0,10285.714285714286,2135.142517826065,11155.714285714286,2257.9993884178143,1.0
2023-03-31,Makkasan,Train,13840.0,986.0,71.0,33.4,0,-0.433883739117558,-0.9009688679024191,11692.0,12798.0,10358.857142857143,2187.796641111143,11235.142857142857,2313.9635137264213,1.0
2023-04-01,Makkasan,Train,10487.0,-3353.0,76.0,33.0,0,-0.9749279121818236,-0.2225209339563146,7772.0,8483.0,10477.42857142857,2292.096119068237,11384.0,2460.15622810151,0.0
2023-04-02,Makkasan,Train,8764.0,-1723.0,90.0,33.0,0,-0.7818314824680299,0.6234898018587334,6637.0,7323.0,10732.42857142857,2024.635675633439,11670.285714285714,2165.2291421683794,0.0
2023-04-03,Makkasan,Train,13122.0,4358.0,112.0,34.8,0,0.0,1.0,11300.0,12186.0,10974.142857142857,1482.6693752116573,11876.142857142857,1701.9727209497566,1.0
2023-04-04,Makkasan,Train,12853.0,-269.0,130.0,35.5,0,0.7818314824680298,0.6234898018587336,11702.0,12695.0,11153.714285714286,1600.1762105349376,12009.857142857143,1765.9397336424358,1.0
