Date,Station_Name,Dataset_Type,Passenger_Arrival_Scaled,pm25_filled_scaled,rain_sum_scaled,temperature_max_scaled,Is_Long_Holiday,day_sin,day_cos,month_cos,Passenger_Arrival_Lag7_scaled,Passenger_Departure_Lag7_scaled,Passenger_Arrival_Roll_Mean_7_scaled,Passenger_Arrival_Roll_Std_7_scaled,Passenger_Departure_Roll_Mean_7_scaled,Passenger_Departure_Roll_Std_7_scaled,holiday_category_Weekday
2023-12-16,Ladkrabang,Train,-1.2236095182793643,1.2525244037101062,-0.6545626845645784,0.3268549459275064,0,-0.9749279121818236,-0.2225209339563146,1.0,0.0936852756680269,-0.06602712600170889,0.6639144523847306,0.7428754542240305,0.5976176412500542,0.4397991972409446,0.0
2023-12-17,Ladkrabang,Train,-0.7325706965101879,0.7321524944122776,-0.5300069713988349,-0.09943043155980873,0,-0.7818314824680299,0.6234898018587334,1.0,-0.3232309449725151,-0.25580110326611366,0.7190126827212223,0.640778116008011,0.656490160395179,0.27740389108128244,0.0
2023-12-18,Ladkrabang,Train,1.4884264985550069,-0.20451694232381407,-0.6407231608794959,-0.3362556412749806,0,0.0,1.0,1.0,-0.676389368430274,-0.6132942442209518,0.7373787595000533,0.5410473654715933,0.7092624020630953,0.02805993180176797,1.0
2023-12-19,Ladkrabang,Train,-0.33866698147447727,0.5586951913130014,-0.6545626845645784,-0.09943043155980873,0,0.7818314824680298,0.6234898018587336,1.0,1.2473029184440068,1.0972360643649668,1.05973180811819,-0.7286185768523641,1.0116618712904377,-1.2676133838977175,1.0
2023-12-20,Ladkrabang,Train,-0.1050659885939953,0.3852378882137251,-0.6545626845645784,-0.052065389616773344,0,0.9749279121818236,-0.22252093395631434,1.0,0.8871709859193809,0.9643942802798835,0.9630732287821789,-0.9340628222044624,0.9444619892399174,-1.3999510013324992,1.0
2023-12-21,Ladkrabang,Train,0.27274786213617197,-0.4473571666628008,-0.6545626845645784,-0.7625410187622941,0,0.43388373911755823,-0.900968867902419,1.0,0.921540423463225,0.84847828335622,0.9185780943180017,-0.9578117825647666,0.9010822382908782,-1.474329304411951,1.0
2023-12-22,Ladkrabang,Train,0.8347012710297804,-0.13513402108410358,-0.6545626845645784,-2.467682528711543,0,-0.433883739117558,-0.9009688679024191,1.0,1.404206872448512,1.2511068567415113,0.9112884659057855,-0.9726832233499949,0.9045681111349971,-1.4672814107284144,1.0
2023-12-23,Ladkrabang,Train,-1.9875801123425734,0.5586951913130014,-0.6545626845645784,-2.704507738426716,0,-0.9749279121818236,-0.2225209339563146,1.0,0.3835840097334933,0.24581767988142111,0.9452751749965078,-0.7177980547086651,0.9276136038266742,-1.3016326478767768,0.0
2023-12-24,Ladkrabang,Train,-0.2570258181463496,0.8709183368916985,-0.6545626845645784,-3.509713451458306,0,-0.7818314824680299,0.6234898018587334,1.0,-0.22659803361735958,0.023730836217942017,0.8578943045487721,-0.31633948104155957,0.8566373595283575,-0.8357343804763768,0.0
2023-12-25,Ladkrabang,Train,1.701170259928303,1.217832943090251,-0.6545626845645784,-2.5150475706545783,0,0.0,1.0,1.0,1.0196676581898518,0.9885007044188755,0.846060492191278,-0.22987324902371858,0.7977648403832339,-0.4247927904784802,1.0
