Date,Station_Name,Dataset_Type,Passenger_Arrival_Filled,day_sin,Passenger_Arrival_Lag7,Passenger_Departure_Lag7,Passenger_Arrival_Roll_Mean_7,Passenger_Arrival_Roll_Std_7,Passenger_Departure_Roll_Mean_7,Passenger_Departure_Roll_Std_7,holiday_category_Weekday
2022-09-19,Phayathai,Train,11896.0,0.0,12342.0,12502.0,11341.857142857143,1759.5342592640247,11731.42857142857,1758.156407257576,1.0
2022-09-20,Phayathai,Train,11884.0,0.7818314824680298,12408.0,12415.0,11278.142857142857,1725.0186886496235,11731.285714285714,1758.083399072738,1.0
2022-09-21,Phayathai,Train,12170.0,0.9749279121818236,12219.0,12175.0,11203.285714285714,1678.560763897223,11703.57142857143,1747.0032300239748,1.0
2022-09-22,Phayathai,Train,12233.0,0.43388373911755823,11748.0,12614.0,11196.285714285714,1673.714204425364,11746.142857142857,1763.954404982469,1.0
2022-09-23,Phayathai,Train,13061.0,-0.433883739117558,12990.0,13676.0,11265.57142857143,1710.0048593637416,11797.42857142857,1798.2770325270235,1.0
2022-09-24,Phayathai,Train,8367.0,-0.9749279121818236,9230.0,10254.0,11275.714285714286,1722.1057569427112,11836.0,1847.5080514032707,0.0
2022-09-25,Phayathai,Train,8247.0,-0.7818314824680299,8456.0,8484.0,11152.42857142857,1913.2505374486657,11570.57142857143,2210.483571313648,0.0
2022-09-26,Phayathai,Train,11823.0,0.0,11896.0,12501.0,11122.57142857143,1963.3183522752854,11619.57142857143,2133.1072685281297,1.0
2022-09-27,Phayathai,Train,11923.0,0.7818314824680298,11884.0,12221.0,11112.142857142857,1958.7139002052168,11657.0,2153.3534312787388,1.0
2022-09-28,Phayathai,Train,11542.0,0.9749279121818236,12170.0,12473.0,11117.714285714286,1961.3290319139621,11637.857142857143,2148.09314110377,1.0
2022-09-29,Phayathai,Train,11651.0,0.43388373911755823,12233.0,12973.0,11028.0,1919.0814643121994,11626.857142857143,2143.2955488041607,1.0
2022-09-30,Phayathai,Train,13252.0,-0.433883739117558,13061.0,13946.0,10944.857142857143,1870.1584985032146,11553.0,2097.5973557064253,1.0
2022-10-01,Phayathai,Train,9873.0,-0.9749279121818236,8367.0,8396.0,10972.142857142857,1907.2053226795304,11628.142857142857,2204.316782177733,0.0
2022-10-02,Phayathai,Train,8588.0,-0.7818314824680299,8247.0,8827.0,11187.285714285714,1629.004472501092,11994.0,1742.6416728633299,0.0
2022-10-03,Phayathai,Train,14301.0,0.0,11823.0,12763.0,11236.0,1528.415737509483,12038.57142857143,1649.647927805866,1.0
2022-10-04,Phayathai,Train,12626.0,0.7818314824680298,11923.0,12087.0,11590.0,1923.0519147091838,12112.857142857143,1698.6861029014087,1.0
2022-10-05,Phayathai,Train,12596.0,0.9749279121818236,11542.0,12396.0,11690.42857142857,1961.3166374609032,12215.714285714286,1718.5417960473933,1.0
2022-10-06,Phayathai,Train,12670.0,0.43388373911755823,11651.0,12456.0,11841.0,1988.29508205732,12334.857142857143,1761.4966580128296,1.0
2022-10-07,Phayathai,Train,14379.0,-0.433883739117558,13252.0,14472.0,11986.57142857143,2009.258060175682,12472.714285714286,1809.6602548807678,1.0
2022-10-08,Phayathai,Train,10073.0,-0.9749279121818236,9873.0,10957.0,12147.57142857143,2166.551242346757,12553.42857142857,1922.7599830402223,0.0
2022-10-09,Phayathai,Train,8870.0,-0.7818314824680299,8588.0,9139.0,12176.142857142857,2132.6088427535105,12568.142857142857,1908.8506514454432,0.0
2022-10-10,Phayathai,Train,12634.0,0.0,14301.0,13283.0,12216.42857142857,2054.7738608050304,12522.142857142857,2006.6350298091152,1.0
2022-10-11,Phayathai,Train,12813.0,0.7818314824680298,12626.0,12807.0,11978.285714285714,1860.309894819112,12485.57142857143,1992.7418177929721,1.0
2022-10-12,Phayathai,Train,14179.0,0.9749279121818236,12596.0,13230.0,12005.0,1872.4643298783178,12561.0,2016.783991077515,1.0
2022-10-13,Phayathai,Train,8718.0,0.43388373911755823,12670.0,13421.0,12231.142857142857,2043.5160409264718,12733.857142857143,2132.2300085881184,0.0
2022-10-14,Phayathai,Train,9720.0,-0.433883739117558,14379.0,15037.0,11666.57142857143,2414.336959163104,12209.57142857143,2372.747061750897,0.0
2022-10-15,Phayathai,Train,10312.0,-0.9749279121818236,10073.0,11060.0,11001.0,2171.9849600461453,11557.142857142857,2074.9171412027663,0.0
2022-10-16,Phayathai,Train,11175.0,-0.7818314824680299,8870.0,8817.0,11035.142857142857,2156.7911681145974,11632.142857142857,2063.408864684132,0.0
2022-10-17,Phayathai,Train,12879.0,0.0,12634.0,13027.0,11364.42857142857,1935.7686550087215,12061.142857142857,1651.6613281351126,1.0
2022-10-18,Phayathai,Train,12296.0,0.7818314824680298,12813.0,13335.0,11399.42857142857,1964.5500635975002,12133.42857142857,1710.9849850444389,1.0
2022-10-19,Phayathai,Train,12309.0,0.9749279121818236,14179.0,14440.0,11325.57142857143,1911.5531954532703,12097.857142857143,1684.2198420011493,1.0
2022-10-20,Phayathai,Train,12112.0,0.43388373911755823,8718.0,9751.0,11058.42857142857,1541.089101592639,11912.857142857143,1437.061751001112,1.0
2022-10-21,Phayathai,Train,12903.0,-0.433883739117558,9720.0,10470.0,11543.285714285714,1171.6466637864391,12418.42857142857,1141.968892912956,1.0
2022-10-22,Phayathai,Train,9524.0,-0.9749279121818236,10312.0,11585.0,11998.0,941.0660621514957,12981.0,980.745634708548,0.0
2022-10-23,Phayathai,Train,7973.0,-0.7818314824680299,11175.0,11820.0,11885.42857142857,1190.448494915932,12845.42857142857,1237.788600306004,0.0
2022-10-24,Phayathai,Train,7590.0,0.0,12879.0,13533.0,11428.0,1907.9093269859516,12355.857142857143,2093.1467083931398,0.0
2022-10-25,Phayathai,Train,12328.0,0.7818314824680298,12296.0,13086.0,10672.42857142857,2253.4911328235285,11654.0,2429.3455222892,1.0
2022-10-26,Phayathai,Train,12227.0,0.9749279121818236,12309.0,13145.0,10677.0,2257.3627680695563,11633.57142857143,2415.8605683512046,1.0
2022-10-27,Phayathai,Train,12307.0,0.43388373911755823,12112.0,13290.0,10665.285714285714,2247.67418415019,11617.57142857143,2404.5264854119487,1.0
2022-10-28,Phayathai,Train,13260.0,-0.433883739117558,12903.0,14408.0,10693.142857142857,2269.693329400206,11621.42857142857,2407.675978832604,1.0
2022-10-29,Phayathai,Train,10217.0,-0.9749279121818236,9524.0,10636.0,10744.142857142857,2330.8126929300415,11656.285714285714,2456.023188970703,0.0
2022-10-30,Phayathai,Train,8723.0,-0.7818314824680299,7973.0,8393.0,10843.142857142857,2284.6097718262067,11729.285714285714,2428.078301475295,0.0
2022-10-31,Phayathai,Train,12486.0,0.0,7590.0,8620.0,10950.285714285714,2140.6221614510164,11904.0,2179.2538478417887,1.0
2022-11-01,Phayathai,Train,13032.0,0.7818314824680298,12328.0,12943.0,11649.714285714286,1588.294443135537,12556.57142857143,1652.167148237179,1.0
2022-11-02,Phayathai,Train,12306.0,0.9749279121818236,12227.0,13033.0,11750.285714285714,1659.1119827873463,12611.714285714286,1673.5178232578792,1.0
2022-11-03,Phayathai,Train,12355.0,0.43388373911755823,12307.0,13317.0,11761.57142857143,1663.1589277779822,12601.0,1670.6086715126373,1.0
2022-11-04,Phayathai,Train,14081.0,-0.433883739117558,13260.0,14652.0,11768.42857142857,1665.8792330320969,12630.857142857143,1687.3217860039897,1.0
2022-11-05,Phayathai,Train,10408.0,-0.9749279121818236,10217.0,11147.0,11885.714285714286,1810.9772421067476,12680.0,1759.4651649483,0.0
2022-11-06,Phayathai,Train,8777.0,-0.7818314824680299,8723.0,9616.0,11913.0,1782.8652968372728,12847.57142857143,1640.9984620287821,0.0
2022-11-07,Phayathai,Train,12262.0,0.0,12486.0,13188.0,11920.714285714286,1766.8065083916883,12855.57142857143,1622.6525462076474,1.0
