Date,Station_Name,Dataset_Type,Passenger_Departure_Scaled,day_cos,Passenger_Arrival_Lag7_scaled,Passenger_Arrival_Roll_Std_7_scaled,Passenger_Departure_Roll_Mean_7_scaled,Passenger_Departure_Roll_Std_7_scaled,holiday_category_Weekday
2022-09-01,Huamak,Train,0.00827925982891606,-0.900968867902419,0.3407468217560319,0.3449567420493843,-0.05123077470357254,0.5208153090618011,1.0
2022-09-02,Huamak,Train,0.39345609420548483,-0.9009688679024191,0.4812621139317,0.39950054464644164,-0.021761170597729446,0.5836606060968227,1.0
2022-09-03,Huamak,Train,-1.9217025379515509,-0.2225209339563146,-0.8912128329004074,0.6400823435036641,0.0038308540205023505,0.6819573242074055,0.0
2022-09-04,Huamak,Train,-0.48753347378347567,0.6234898018587334,-1.3656970288052217,0.4058410785163449,0.019599677270120328,0.605549008999022,0.0
2022-09-05,Huamak,Train,2.057092208640452,1.0,0.4270166755569072,0.33337277677555377,0.06341632548012417,0.25631583612332687,1.0
2022-09-06,Huamak,Train,0.21234102953054504,0.6234898018587336,0.4838763519256659,0.3311688683466553,0.08771582360248635,0.3075105319822782,1.0
2022-09-07,Huamak,Train,-0.07613183366211922,-0.22252093395631434,0.4681909239618704,0.4161956932461799,0.12675012377776967,0.4146131250127701,1.0
2022-09-08,Huamak,Train,0.08695367706327904,-0.900968867902419,0.45969465048148117,0.5132165092236438,0.15867552822576683,0.4876430370800146,1.0
2022-09-09,Huamak,Train,0.027947864137506804,-0.9009688679024191,0.8302628861261502,0.6037975884063133,0.2030091870341187,0.5901550948280176,1.0
2022-09-10,Huamak,Train,-1.8872824804115171,-0.2225209339563146,-0.6402459854796793,0.5337979090546117,0.18969616412665397,0.5473185170126255,0.0
2022-09-11,Huamak,Train,-0.7669915600013691,0.6234898018587334,-1.3219085424062926,0.7777073615647548,0.1818117525018454,0.591030670345779,0.0
2022-09-12,Huamak,Train,2.2431244243925392,1.0,0.42113464007048385,1.1647911759281866,0.12985218736785856,1.0011355950966616,1.0
2022-09-13,Huamak,Train,0.2270924827619881,0.6234898018587336,0.6472662265485358,1.1164969050509461,0.10723297369012802,0.9638083435526286,1.0
2022-09-14,Huamak,Train,-0.18758725807746676,-0.22252093395631434,0.6688336899987547,1.0325399640158008,0.08694030770496393,0.909093042349359,1.0
2022-09-15,Huamak,Train,-0.07285373294402075,-0.900968867902419,0.6675265710017717,0.8475948821917579,0.049069281375963426,0.8223120857057561,1.0
2022-09-16,Huamak,Train,0.12792993603950975,-0.9009688679024191,0.7243862473705305,0.6987600250937799,-0.014006011622507664,0.6582166699753268,1.0
2022-09-17,Huamak,Train,-1.9503859192349124,-0.2225209339563146,-0.8885985949064416,0.6540816845033587,-0.061312481371361596,0.5020844042700405,0.0
2022-09-18,Huamak,Train,-0.19906061059081137,0.6234898018587334,-1.5689540328360718,0.6740992195672781,-0.11857140513841614,0.8022573537468932,0.0
2022-09-19,Huamak,Train,2.0071011726894503,1.0,0.20872780306075295,0.40413211163736895,-0.08625824274165858,0.5657099352191279,1.0
2022-09-20,Huamak,Train,0.12711041085998515,0.6234898018587336,0.47995499493471705,0.5139712300267195,-0.0911698434259659,0.5545134128459991,1.0
2022-09-21,Huamak,Train,0.09350987849947595,-0.22252093395631434,0.26689459842649466,0.5448669608695554,-0.11185026735989038,0.488440328098267,1.0
2022-09-22,Huamak,Train,-0.19332393433413908,-0.900968867902419,0.42178819956897534,0.6163665228548857,-0.08819703248546383,0.558879932746402,1.0
2022-09-23,Huamak,Train,0.1918529000424297,-0.9009688679024191,0.6688336899987547,0.6553960911199584,-0.08354393710033092,0.5695098482675075,1.0
2022-09-24,Huamak,Train,-2.2306635306323304,-0.2225209339563146,-0.9108196178551519,0.6403562248860561,-0.06880913504740896,0.613373645037648,0.0
2022-09-25,Huamak,Train,-0.047448452378757715,0.6234898018587334,-1.3983750037297957,0.9938750028269085,-0.09827873915325205,0.8030006884341281,0.0
2022-09-26,Huamak,Train,1.9833349424832365,1.0,0.47864787593773406,1.0426235171047449,-0.10383660308549501,0.8404186391119889,1.0
2022-09-27,Huamak,Train,0.09514892885852519,0.6234898018587336,0.5355075523064928,0.96048023140969,-0.11314279385576081,0.8215731776491163,1.0
2022-09-28,Huamak,Train,-0.1441524235626622,-0.22252093395631434,0.4590410909829897,0.877831934523968,-0.12748983795992155,0.7845170779725097,1.0
2022-09-29,Huamak,Train,-0.10317616458643149,-0.900968867902419,0.5074044938713592,0.8273098996188023,-0.17932015044432079,0.6463662281338342,1.0
2022-09-30,Huamak,Train,0.2500391877886773,-0.9009688679024191,0.6459591075515528,0.7006724563492959,-0.2169326714741477,0.5617206037450158,1.0
2022-10-01,Huamak,Train,-1.3275467827962053,-0.2225209339563146,-1.2232210581340792,0.618106389846509,-0.24536825438329396,0.46254628436832856,0.0
2022-10-02,Huamak,Train,-0.7170005240503677,0.6234898018587334,-1.4330136571498442,0.09121877879121021,-0.13136741744753205,-0.16500868848392064,0.0
2022-10-03,Huamak,Train,2.6594432155910432,1.0,0.2695088364204606,-0.1979644949040725,-0.12296599522437546,-0.23651516240161372,1.0
