Date,Station_Name,Dataset_Type,Passenger_Departure_Filled,Passenger_Departure_Diff,pm25_filled,Is_Long_Holiday,day_sin,day_cos,Passenger_Arrival_Lag7,Passenger_Departure_Lag7,Passenger_Arrival_Roll_Mean_7,Passenger_Arrival_Roll_Std_7,Passenger_Departure_Roll_Mean_7,Passenger_Departure_Roll_Std_7,holiday_category_Weekday
2023-02-10,Banthapchang,Train,3619.0,-26.0,73.0,0,-0.433883739117558,-0.9009688679024191,3741.0,3674.0,3197.714285714286,973.541766658506,3137.714285714286,926.9224552761912,1.0
2023-02-11,Banthapchang,Train,1989.0,-1630.0,109.0,0,-0.9749279121818236,-0.2225209339563146,2029.0,1996.0,3205.8571428571427,979.0659542937525,3129.8571428571427,921.8380965172142,0.0
2023-02-12,Banthapchang,Train,1510.0,-479.0,90.0,0,-0.7818314824680299,0.6234898018587334,1554.0,1591.0,3204.0,981.6791736611272,3128.8571428571427,923.2757675024009,0.0
2023-02-13,Banthapchang,Train,3660.0,2150.0,73.0,0,0.0,1.0,3709.0,3646.0,3194.4285714285716,1000.5924673483602,3117.285714285714,945.9902596901175,1.0
2023-02-14,Banthapchang,Train,3735.0,75.0,79.0,0,0.7818314824680298,0.6234898018587336,3817.0,3635.0,3189.285714285714,997.5948934455134,3119.285714285714,947.3082416837242,1.0
2023-02-15,Banthapchang,Train,3530.0,-205.0,103.0,0,0.9749279121818236,-0.22252093395631434,3891.0,3777.0,3195.285714285714,1002.1155479427335,3133.5714285714284,957.0851332984736,1.0
2023-02-16,Banthapchang,Train,3626.0,96.0,86.0,0,0.43388373911755823,-0.900968867902419,3643.0,3645.0,3151.714285714286,973.0333523378831,3098.285714285714,933.6765525394269,1.0
2023-02-17,Banthapchang,Train,3705.0,79.0,115.0,0,-0.433883739117558,-0.9009688679024191,3798.0,3619.0,3177.1428571428573,990.18675487193,3095.5714285714284,931.8481380466222,1.0
2023-02-18,Banthapchang,Train,1867.0,-1838.0,126.0,0,-0.9749279121818236,-0.2225209339563146,2016.0,1989.0,3177.5714285714284,990.5008593539666,3107.8571428571427,940.4267521665261,0.0
2023-02-19,Banthapchang,Train,1470.0,-397.0,139.0,0,-0.7818314824680299,0.6234898018587334,1487.0,1510.0,3161.1428571428573,1013.6607632029254,3090.4285714285716,965.4164657705796,0.0
2023-02-20,Banthapchang,Train,3576.0,2106.0,108.0,0,0.0,1.0,3673.0,3660.0,3162.8571428571427,1010.3623819487427,3084.714285714286,976.3861453143983,1.0
2023-02-21,Banthapchang,Train,3743.0,167.0,113.0,0,0.7818314824680298,0.6234898018587336,3859.0,3735.0,3169.0,1014.104695449798,3072.714285714286,968.6226844142714,1.0
2023-02-22,Banthapchang,Train,3639.0,-104.0,129.0,0,0.9749279121818236,-0.22252093395631434,3586.0,3530.0,3142.1428571428573,995.0967170031618,3073.8571428571427,969.5386237057022,1.0
2023-02-23,Banthapchang,Train,3620.0,-19.0,146.0,0,0.43388373911755823,-0.900968867902419,3821.0,3626.0,3171.0,1012.8835076157544,3089.4285714285716,978.9155321311556,1.0
2023-02-24,Banthapchang,Train,3512.0,-108.0,153.0,0,-0.433883739117558,-0.9009688679024191,3801.0,3705.0,3154.8571428571427,1001.6355672218333,3088.5714285714284,978.3698784445602,1.0
2023-02-25,Banthapchang,Train,1783.0,-1729.0,135.0,0,-0.9749279121818236,-0.2225209339563146,1901.0,1867.0,3130.714285714286,985.3702712323758,3061.0,960.6622715606168,0.0
2023-02-26,Banthapchang,Train,1411.0,-372.0,95.0,0,-0.7818314824680299,0.6234898018587334,1499.0,1470.0,3102.8571428571427,1027.7733908100256,3049.0,978.4232213106985,0.0
2023-02-27,Banthapchang,Train,3474.0,2063.0,116.0,0,0.0,1.0,3716.0,3576.0,3090.0,1051.470874537186,3040.5714285714284,994.4158850204255,1.0
2023-02-28,Banthapchang,Train,3606.0,132.0,149.0,0,0.7818314824680298,0.6234898018587336,3671.0,3743.0,3073.1428571428573,1040.6524281384593,3026.0,985.9739685542771,1.0
2023-03-01,Banthapchang,Train,3638.0,32.0,156.0,0,0.9749279121818236,-0.22252093395631434,3788.0,3639.0,3088.5714285714284,1051.7350517348054,3006.4285714285716,970.6095777298698,1.0
2023-03-02,Banthapchang,Train,3620.0,-18.0,145.0,0,0.43388373911755823,-0.900968867902419,3708.0,3620.0,3093.8571428571427,1055.9206770351982,3006.285714285714,970.5010242628505,1.0
2023-03-03,Banthapchang,Train,3473.0,-147.0,120.0,0,-0.433883739117558,-0.9009688679024191,3632.0,3512.0,3093.5714285714284,1055.7270570784922,3006.285714285714,970.5010242628505,1.0
2023-03-04,Banthapchang,Train,1743.0,-1730.0,160.0,1,-0.9749279121818236,-0.2225209339563146,1706.0,1783.0,3097.8571428571427,1058.3347656533215,3000.714285714286,967.2203668736727,0.0
2023-03-05,Banthapchang,Train,1435.0,-308.0,158.0,1,-0.7818314824680299,0.6234898018587334,1409.0,1411.0,3102.5714285714284,1051.1506167279806,2995.0,975.6946243574389,0.0
2023-03-06,Banthapchang,Train,1422.0,-13.0,163.0,1,0.0,1.0,3598.0,3474.0,3111.4285714285716,1034.6334064364444,2998.4285714285716,969.2214843441561,0.0
2023-03-07,Banthapchang,Train,3624.0,2202.0,178.0,0,0.7818314824680298,0.6234898018587336,3779.0,3606.0,2799.0,1182.8089448427409,2705.285714285714,1102.555473175193,1.0
2023-03-08,Banthapchang,Train,3665.0,41.0,179.0,0,0.9749279121818236,-0.22252093395631434,3825.0,3638.0,2798.714285714286,1182.532975479008,2707.8571428571427,1105.0244987588035,1.0
2023-03-09,Banthapchang,Train,3472.0,-193.0,138.0,0,0.43388373911755823,-0.900968867902419,3706.0,3620.0,2782.5714285714284,1166.8554405099278,2711.714285714286,1108.8528177484031,1.0
2023-03-10,Banthapchang,Train,3473.0,1.0,136.0,0,-0.433883739117558,-0.9009688679024191,3662.0,3473.0,2763.1428571428573,1149.9268713808754,2690.5714285714284,1089.8967622582215,1.0
2023-03-11,Banthapchang,Train,1779.0,-1694.0,125.0,0,-0.9749279121818236,-0.2225209339563146,1739.0,1743.0,2745.4285714285716,1134.6257616710534,2690.5714285714284,1089.8967622582215,0.0
2023-03-12,Banthapchang,Train,1514.0,-265.0,112.0,0,-0.7818314824680299,0.6234898018587334,1471.0,1435.0,2763.4285714285716,1116.8588178671546,2695.714285714286,1084.7530770157973,0.0
2023-03-13,Banthapchang,Train,3423.0,1909.0,133.0,0,0.0,1.0,1411.0,1422.0,2760.1428571428573,1121.3196732082286,2707.0,1069.7579165400002,1.0
2023-03-14,Banthapchang,Train,3513.0,90.0,132.0,0,0.7818314824680298,0.6234898018587336,3777.0,3624.0,3074.1428571428573,979.3149695189005,2992.8571428571427,926.977423056865,1.0
2023-03-15,Banthapchang,Train,3591.0,78.0,149.0,0,0.9749279121818236,-0.22252093395631434,3712.0,3665.0,3054.285714285714,963.9773016493872,2977.0,915.2567945664229,1.0
2023-03-16,Banthapchang,Train,3458.0,-133.0,118.0,0,0.43388373911755823,-0.900968867902419,3570.0,3472.0,3056.714285714286,965.9298998522444,2966.4285714285716,906.3700232507814,1.0
2023-03-17,Banthapchang,Train,3362.0,-96.0,112.0,0,-0.433883739117558,-0.9009688679024191,3538.0,3473.0,3062.285714285714,969.4898511220047,2964.4285714285716,905.0830269728234,1.0
2023-03-18,Banthapchang,Train,1795.0,-1567.0,110.0,0,-0.9749279121818236,-0.2225209339563146,1865.0,1779.0,3060.8571428571427,968.679071136121,2948.5714285714284,895.6105658791037,0.0
2023-03-19,Banthapchang,Train,1508.0,-287.0,82.0,0,-0.7818314824680299,0.6234898018587334,1448.0,1514.0,3055.1428571428573,976.9915435613922,2950.8571428571427,892.1418849359924,0.0
2023-03-20,Banthapchang,Train,3545.0,2037.0,78.0,0,0.0,1.0,3609.0,3423.0,3064.0,960.1288108026592,2950.0,893.7538811104558,1.0
2023-03-21,Banthapchang,Train,3540.0,-5.0,89.0,0,0.7818314824680298,0.6234898018587336,3638.0,3513.0,3063.1428571428573,959.5636905336047,2967.4285714285716,905.6255401917626,1.0
2023-03-22,Banthapchang,Train,3466.0,-74.0,90.0,0,0.9749279121818236,-0.22252093395631434,3729.0,3591.0,3072.714285714286,966.5620715169996,2971.285714285714,908.3897317571945,1.0
2023-03-23,Banthapchang,Train,3529.0,63.0,76.0,0,0.43388373911755823,-0.900968867902419,3609.0,3458.0,3050.8571428571427,950.8500457610575,2953.4285714285716,895.3114648252986,1.0
2023-03-24,Banthapchang,Train,3342.0,-187.0,78.0,0,-0.433883739117558,-0.9009688679024191,3528.0,3362.0,3038.0,942.617985541684,2963.5714285714284,902.3548557603536,1.0
2023-03-25,Banthapchang,Train,1847.0,-1495.0,78.0,0,-0.9749279121818236,-0.2225209339563146,1825.0,1795.0,3038.0,942.617985541684,2960.714285714286,900.913557504404,0.0
2023-03-26,Banthapchang,Train,1398.0,-449.0,76.0,0,-0.7818314824680299,0.6234898018587334,1510.0,1508.0,3038.0,942.617985541684,2968.1428571428573,889.8459470738811,0.0
2023-03-27,Banthapchang,Train,3382.0,1984.0,70.0,0,0.0,1.0,3603.0,3545.0,3034.5714285714284,949.1232545781123,2952.4285714285716,920.3765275043445,1.0
2023-03-28,Banthapchang,Train,3497.0,115.0,71.0,0,0.7818314824680298,0.6234898018587336,3705.0,3540.0,3018.4285714285716,938.7482547063838,2929.1428571428573,904.8160823378118,1.0
2023-03-29,Banthapchang,Train,3452.0,-45.0,65.0,0,0.9749279121818236,-0.22252093395631434,3576.0,3466.0,3001.285714285714,925.1175987022231,2923.0,900.1114745778266,1.0
2023-03-30,Banthapchang,Train,3437.0,-15.0,69.0,0,0.43388373911755823,-0.900968867902419,3519.0,3529.0,3007.1428571428573,929.4821907154213,2921.0,898.7183466841374,1.0
