Date,Station_Name,Dataset_Type,Passenger_Departure_Scaled,pm25_filled_scaled,temperature_max_scaled,Is_Long_Holiday,day_sin,day_cos,Passenger_Arrival_Lag7_scaled,Passenger_Departure_Lag7_scaled,Passenger_Arrival_Roll_Mean_7_scaled,Passenger_Arrival_Roll_Std_7_scaled,Passenger_Departure_Roll_Mean_7_scaled,Passenger_Departure_Roll_Std_7_scaled,holiday_category_Weekday
2024-09-11,Makkasan,Test,1.7563926089777457,-0.9677290759606295,-0.5018138142101697,0,0.9749279121818236,-0.22252093395631434,1.3569678646247518,1.3581759526648676,1.068521843828478,1.1747738283637559,0.7636626392499631,1.6009375667811778,1.0
2024-09-12,Makkasan,Test,0.22145885960568998,-0.7942717728613532,-0.4080655677742492,0,0.43388373911755823,-0.900968867902419,1.2460474959375878,1.3310902767714934,1.0489820479143381,1.1250699011384147,0.7295905326542826,1.4854907157649488,1.0
2024-09-13,Makkasan,Test,-0.3370673370234869,-0.620814469762077,-0.5486879374281316,0,-0.433883739117558,-0.9009688679024191,1.4127746751204813,1.5357013464720426,1.045326643916795,1.1168321812724,0.7351444108356301,1.5068329227350146,1.0
2024-09-14,Makkasan,Test,-1.4849237875705326,-0.6555059303819323,-0.5486879374281316,0,-0.9749279121818236,-0.2225209339563146,-0.32070271176860504,-0.34136862628323433,1.0182766543349757,1.0392381442522305,0.6500265474720618,1.1706786615624944,0.0
2024-09-15,Makkasan,Test,-0.735088182516848,-0.7942717728613532,-0.03307258203055738,0,-0.7818314824680299,0.6234898018587334,-0.7130835159994481,-0.7796344422446977,1.01023476554038,1.0844739967983401,0.6955808291842351,0.994391438236621,0.0
2024-09-16,Makkasan,Test,2.4012512293239143,-0.3085913241833798,0.5294168965849754,0,0.0,1.0,1.242581234416114,1.180324225413194,1.0029239575452944,1.1393219149183138,0.7121176574770106,0.8799813347339989,1.0
2024-09-17,Makkasan,Test,0.013936789450291918,0.1423976638747384,0.10754978762332497,0,0.7818314824680298,0.6234898018587336,1.403415769012502,-0.23596292371022418,1.019539430261399,1.1827548643372763,0.7239118482216692,0.9231630579210356,1.0
2024-09-18,Makkasan,Test,-0.15508020909424128,-0.6555059303819323,-1.0174291696077438,0,0.9749279121818236,-0.22252093395631434,1.2550597758934199,1.1799978919686955,1.0274483952742652,1.208326444160583,1.0090317292393693,0.6904765552669705,1.0
2024-09-19,Makkasan,Test,0.06176414155641882,-0.23920840294366932,-0.12682082846648116,0,0.43388373911755823,-0.900968867902419,1.2269830575694816,1.3601339533318586,1.0495802049321177,1.26597429316961,0.9998584697713016,0.6694276751381997,1.0
2024-09-20,Makkasan,Test,0.2733393771445395,-0.8983461547209189,-0.5955620606460934,0,-0.433883739117558,-0.9009688679024191,1.2716978311964946,1.0905825281761112,1.0646005922674766,1.3003169324539183,0.9660983788037869,0.5647738291319719,1.0
2024-09-21,Makkasan,Test,-2.2019287526191635,-2.3900789613746944,-0.970555046389782,0,-0.9749279121818236,-0.2225209339563146,-0.362644476178439,-0.10314521179934141,1.093644438575229,1.3750370069136229,1.0263173950397424,0.7381852383599083,0.0
2024-09-22,Makkasan,Test,-0.6110613202755358,-2.320696040134984,-0.970555046389782,0,-0.7818314824680299,0.6234898018587334,-0.7512123927356607,-0.6931560794525995,1.0883274873060749,1.4052941450834362,0.9761452820307183,1.012469042813339,0.0
2024-09-23,Makkasan,Test,2.1892706771925217,-0.620814469762077,-0.45493969099220777,0,0.0,1.0,1.329237772452961,1.2420012464234076,1.081216064983582,1.4584527964068073,0.9450685254654274,1.256008040763329,1.0
2024-09-24,Makkasan,Test,0.15863479539848943,-0.7248888516216427,-1.486170401787356,0,0.7818314824680298,0.6234898018587336,1.444664281118041,1.255054584203347,1.0250557672031462,1.3546218037569826,0.8813549341940174,1.1292597254957868,1.0
2024-09-25,Makkasan,Test,0.10553832822982312,-0.2738998635635246,-0.7830585535179377,0,0.9749279121818236,-0.22252093395631434,1.3704862845585,1.1320268756274185,0.941180860932247,1.1556303754973862,0.8399192587736294,1.0205542937406427,1.0
2024-09-26,Makkasan,Test,-0.006329037713321176,0.17708912449459363,-0.17369495168444307,0,0.43388373911755823,-0.900968867902419,1.3053205679547912,1.1835875598581789,0.8949898467814746,1.0252282305120561,0.8386087931353339,1.0170904064366795,1.0
2024-09-27,Makkasan,Test,0.2777978591205344,0.5240037306931461,-0.6424361838640537,0,-0.433883739117558,-0.9009688679024191,1.423173459684903,1.4054943021171478,0.8434154194706838,0.8868047217892754,0.8268146023906753,0.9839529537913426,1.0
2024-09-28,Makkasan,Test,-1.8452501945395732,-0.06575109984439309,-0.3143173213383254,0,-0.9749279121818236,-0.2225209339563146,-0.39037456835023,-0.36551730117612213,0.7935690013223681,0.7050275285223045,0.8157068460279805,0.9384994714828293,0.0
2024-09-29,Makkasan,Test,-0.7326562832572144,-0.8289632334812085,-0.03307258203055738,0,-0.7818314824680299,0.6234898018587334,-0.7883013910154312,-0.8556701348128443,0.8063296843683365,0.636875706338716,0.8595138402224274,0.7224287271756876,0.0
2024-09-30,Makkasan,Test,2.2942476619000374,-0.9677290759606295,0.8575357591107053,0,0.0,1.0,1.0363386738884182,0.9088147995904559,0.817428820142695,0.5506711688463277,0.8845998967269391,0.5095852994846565,1.0
2024-10-01,Makkasan,Test,-0.01159815277586058,-1.0024205365804848,-0.12682082846648116,0,0.7818314824680298,0.6234898018587336,1.0072220771080376,1.038369177056354,0.832715055041512,0.5901386546743967,0.9258483627704281,0.5911348799240027,1.0
2024-10-02,Makkasan,Test,-0.04280752660782475,-1.2452607609194715,-0.5018138142101697,0,0.9749279121818236,-0.22252093395631434,1.1295811088160654,1.1251738732929504,0.8485994469581085,0.6272663132610122,0.9408875160480084,0.6240002270519324,1.0
2024-10-03,Makkasan,Test,0.22308012577877903,-1.0024205365804848,-0.5486879374281316,0,0.43388373911755823,-0.900968867902419,1.0363386738884182,1.1219105388479655,0.8313193553333591,0.5832932420528927,0.933087125343869,0.6058694543927368,1.0
2024-10-04,Makkasan,Test,0.33575812480846784,-0.9677290759606295,-1.111177416043666,0,-0.433883739117558,-0.9009688679024191,1.163203845574362,1.3474069489964176,0.872858037123622,0.6999664710977488,0.9606069037480724,0.6824829666639448,1.0
2024-10-05,Makkasan,Test,-2.2311115437347664,-0.10044256046424833,-0.07994670524851927,0,-0.9749279121818236,-0.2225209339563146,-0.3238223471379315,-0.13643122313818673,0.9211758317820562,0.8604440371298984,0.9970503291178118,0.8278892681963681,0.0
